# 0: all purpose
# 1: nouns
# 2: verbs
# 3: adjectives
# 4: adverbs
# 5: names
# 6: cities
# 7: coutries
# 8: nice words
### Groups:
####################
Aachen 0,1,6
abtun 0
ABUJA 0
abverlangt 0
abwägen 0
Abwägen 0
ABWÄGEND 0
ABWÄGENDE 0
Abwägung 0
Abwahl 0
abwählen 0
abwälzen 0
abwandern 0
Abwandern 0
Abwandlung 0
Abwärme 0
abwarten 0
Abwarten 0
abwartend 0
abwartende 0
ABWARTEST 0
abwärts 0
Abwärts 0
Abwasch 0
abwaschen 0
Abwasser 0
Abwässer 0
Abwässern 0
abwechseln 0
ABWEG 0
Abwege 0
Abwegen 0
abwegig 0
abwegige 0
Abwehr 0
Abwehrchef 0
abwehren 0
abwehrte 0
abweichen 0
Abweichen 0
abweichend 0
Abweichler 0
abweicht 0
Abweichung 0
abweisen 0
abweisend 0
Abweisung 0
ABWENDE 0
abwenden 0
abwendet 0
Abwendung 0
abwerben 0
Abwerbung 0
abwerfen 0
abwerten 0
abwertend 0
Abwertung 0
abwesend 0
abwesende 0
abwesenden 0
Abwesenden 0
abwickeln 0
abwickelt 0
Abwicklung 0
Abwinken 0
abwirft 0
Abwurf 0
abwürgen 0
abzählen 0
ABZÄHLT 0
Abzeichen 0
abzeichne 0
abzeichnen 0
abzeichnet 0
abziehen 0
abzieht 0
abzielen 0
abzielt 0
Abzocke 0
Abzocker 0
Abzockerei 0
abzog 0
abzuändern 0
abzubauen 0
abzubiegen 0
abzubilden 0
ABZUDANKEN 0
abzudecken 0
abzudrehen 0
abzufahren 0
ABZUFALLEN 0
abzufangen 0
abzufedern 0
abzufinden 0
abzufragen 0
abzuführen 0
Abzug 0
Abzüge 0
abzugeben 0
abzugehen 0
Abzügen 0
abzüglich 0
Abzüglich 0
Abzugs 0
abzuhaken 0
abzuhalten 0
abzuhängen 0
abzuheben 0
abzuhelfen 0
abzuholen 0
abzuhören 0
abzujagen 0
abzukaufen 0
abzuklären 0
abzukühlen 0
abzukürzen 0
abzuladen 0
abzulassen 0
abzulaufen 0
ABZULECKEN 0
abzulegen 0
abzulehnen 0
abzuleiten 0
abzulenken 0
abzulesen 0
abzulösen 0
ABZUMACHEN 0
abzumelden 0
ABZUMESSEN 0
ABZUNAGEN 0
abzunehmen 0
abzuraten 0
abzuräumen 0
ABZUREDEN 0
ABZUREISEN 0
abzureißen 0
abzuringen 0
abzurücken 0
abzurufen 0
abzurunden 0
abzusagen 0
abzusegnen 0
abzusehen 0
ABZUSEHN 0
abzusenken 0
abzusetzen 0
ABZUSINGEN 0
abzusitzen 0
abzustoßen 0
abzutragen 0
abzutreten 0
abzutun 0
abzuwägen 0
abzuwählen 0
abzuwälzen 0
abzuwarten 0
Abzuwarten 0
abzuwehren 0
abzuweisen 0
abzuwenden 0
abzuwerben 0
abzuwerfen 0
abzuziehen 0
abzweigen 0
abzweigt 0
